precinct_id	name	list_order	type_1	type_2	type_3	type_4	type_5	type_6	cmax_category_order	ed_turnout	ev_turnout	MAIL_turnout	type4_turnout	type5_turnout	type6_turnout	turnout
1	Pct 1101	1	1	2	3	4	5	6	2	81	198	0	0	0	0	279
2	Pct 1102	2	1	2	3	4	5	6	2	186	334	0	0	0	0	520
3	Pct 1103	3	1	2	3	4	5	6	2	157	347	0	0	0	0	504
4	Pct 1104/1105	4	1	2	3	4	5	6	2	159	291	0	0	0	0	450
5	Pct 1106	5	1	2	3	4	5	6	2	107	227	0	0	0	0	334
6	Pct 1107	6	1	2	3	4	5	6	2	99	211	0	0	0	0	310
7	Pct 1108	7	1	2	3	4	5	6	2	143	327	0	0	0	0	470
8	Pct 1109	8	1	2	3	4	5	6	2	117	262	0	0	0	0	379
9	Pct 1111	9	1	2	3	4	5	6	2	123	328	0	0	0	0	451
10	Pct 1112	10	1	2	3	4	5	6	2	86	215	0	0	0	0	301
11	Pct 1113	11	1	2	3	4	5	6	2	79	268	0	0	0	0	347
12	Pct 1114	12	1	2	3	4	5	6	2	129	276	0	0	0	0	405
13	Pct 1115	13	1	2	3	4	5	6	2	93	278	0	0	0	0	371
14	Pct 1116	14	1	2	3	4	5	6	2	134	272	0	0	0	0	406
15	Pct 1117	15	1	2	3	4	5	6	2	125	240	0	0	0	0	365
16	Pct 1118	16	1	2	3	4	5	6	2	139	328	0	0	0	0	467
17	Pct 1119	17	1	2	3	4	5	6	2	87	272	0	0	0	0	359
18	Pct 1121	18	1	2	3	4	5	6	2	98	221	0	0	0	0	319
19	Pct 1122	19	1	2	3	4	5	6	2	67	211	0	0	0	0	278
20	Pct 1123	20	1	2	3	4	5	6	2	106	251	0	0	0	0	357
21	Pct 1124	21	1	2	3	4	5	6	2	96	194	0	0	0	0	290
22	Pct 1125	22	1	2	3	4	5	6	2	76	324	0	0	0	0	400
23	Pct 1126	23	1	2	3	4	5	6	2	85	287	0	0	0	0	372
24	Pct 1127	24	1	2	3	4	5	6	2	129	273	0	0	0	0	402
25	Pct 1128	25	1	2	3	4	5	6	2	96	243	0	0	0	0	339
26	Pct 1129	26	1	2	3	4	5	6	2	116	272	0	0	0	0	388
27	Pct 1131	27	1	2	3	4	5	6	2	77	283	0	0	0	0	360
28	Pct 1132	28	1	2	3	4	5	6	2	99	319	0	0	0	0	418
29	Pct 1133	29	1	2	3	4	5	6	2	94	287	0	0	0	0	381
30	Pct 1134	30	1	2	3	4	5	6	2	121	240	0	0	0	0	361
31	Pct 1135	31	1	2	3	4	5	6	2	66	216	0	0	0	0	282
32	Pct 1136	32	1	2	3	4	5	6	2	91	284	0	0	0	0	375
33	Pct 1141	33	1	2	3	4	5	6	2	135	360	0	0	0	0	495
34	Pct 1142	34	1	2	3	4	5	6	2	114	264	0	0	0	0	378
35	Pct 1143	35	1	2	3	4	5	6	2	143	311	0	0	0	0	454
36	Pct 1144	36	1	2	3	4	5	6	2	140	256	0	0	0	0	396
37	Pct 1145	37	1	2	3	4	5	6	2	131	364	0	0	0	0	495
38	Pct 1146	38	1	2	3	4	5	6	2	116	319	0	0	0	0	435
39	Pct 1147	39	1	2	3	4	5	6	2	150	274	0	0	0	0	424
40	Pct 1148	40	1	2	3	4	5	6	2	118	309	0	0	0	0	427
41	Pct 1149	41	1	2	3	4	5	6	2	145	282	0	0	0	0	427
42	Pct 1151 MB	42	1	2	3	4	5	6	2	0	0	0	0	0	0	0
43	Pct 1152	43	1	2	3	4	5	6	2	116	285	0	0	0	0	401
44	Pct 1153	44	1	2	3	4	5	6	2	137	305	0	0	0	0	442
45	Pct 1154 MB	45	1	2	3	4	5	6	2	0	0	0	0	0	0	0
46	Pct 7001	46	1	2	3	4	5	6	2	111	264	0	0	0	0	375
47	Pct 7002	47	1	2	3	4	5	6	2	126	171	0	0	0	0	297
48	Pct 7003	48	1	2	3	4	5	6	2	185	339	0	0	0	0	524
49	Pct 7004	49	1	2	3	4	5	6	2	170	305	0	0	0	0	475
50	Pct 7005	50	1	2	3	4	5	6	2	171	294	0	0	0	0	465
51	Pct 7006	51	1	2	3	4	5	6	2	202	285	0	0	0	0	487
52	Pct 7007	52	1	2	3	4	5	6	2	224	318	0	0	0	0	542
53	Pct 7008	53	1	2	3	4	5	6	2	176	343	0	0	0	0	519
54	Pct 7009	54	1	2	3	4	5	6	2	128	308	0	0	0	0	436
55	Pct 7011	55	1	2	3	4	5	6	2	132	200	0	0	0	0	332
56	Pct 7012	56	1	2	3	4	5	6	2	216	379	0	0	0	0	595
57	Pct 7013	57	1	2	3	4	5	6	2	117	248	0	0	0	0	365
58	Pct 7014	58	1	2	3	4	5	6	2	173	430	0	0	0	0	603
59	Pct 7015 MB	59	1	2	3	4	5	6	2	0	34	0	0	0	0	34
60	Pct 7016	60	1	2	3	4	5	6	2	101	216	0	0	0	0	317
61	Pct 7017	61	1	2	3	4	5	6	2	65	165	0	0	0	0	230
62	Pct 7018	62	1	2	3	4	5	6	2	83	339	0	0	0	0	422
63	Pct 7019	63	1	2	3	4	5	6	2	103	348	0	0	0	0	451
64	Pct 7021	64	1	2	3	4	5	6	2	105	218	0	0	0	0	323
65	Pct 7022	65	1	2	3	4	5	6	2	152	266	0	0	0	0	418
66	Pct 7023	66	1	2	3	4	5	6	2	105	299	0	0	0	0	404
67	Pct 7024	67	1	2	3	4	5	6	2	21	44	0	0	0	0	65
68	Pct 7025	68	1	2	3	4	5	6	2	49	76	0	0	0	0	125
69	Pct 7026	69	1	2	3	4	5	6	2	68	346	0	0	0	0	414
70	Pct 7027	70	1	2	3	4	5	6	2	109	270	0	0	0	0	379
71	Pct 7028	71	1	2	3	4	5	6	2	133	175	0	0	0	0	308
72	Pct 7029	72	1	2	3	4	5	6	2	89	164	0	0	0	0	253
73	Pct 7030	73	1	2	3	4	5	6	2	86	272	0	0	0	0	358
74	Pct 7031	74	1	2	3	4	5	6	2	41	224	0	0	0	0	265
75	Pct 7032	75	1	2	3	4	5	6	2	116	236	0	0	0	0	352
76	Pct 7033	76	1	2	3	4	5	6	2	127	180	0	0	0	0	307
77	Pct 7034	77	1	2	3	4	5	6	2	79	153	0	0	0	0	232
78	Pct 7035	78	1	2	3	4	5	6	2	61	166	0	0	0	0	227
79	Pct 7036	79	1	2	3	4	5	6	2	44	262	0	0	0	0	306
80	Pct 7037	80	1	2	3	4	5	6	2	60	64	0	0	0	0	124
81	Pct 7038	81	1	2	3	4	5	6	2	81	253	0	0	0	0	334
82	Pct 7039	82	1	2	3	4	5	6	2	105	223	0	0	0	0	328
83	Pct 7041 MB	83	1	2	3	4	5	6	2	0	24	0	0	0	0	24
84	Pct 7042	84	1	2	3	4	5	6	2	69	189	0	0	0	0	258
85	Pct 7043	85	1	2	3	4	5	6	2	88	277	0	0	0	0	365
86	Pct 7044	86	1	2	3	4	5	6	2	76	121	0	0	0	0	197
87	Pct 7045	87	1	2	3	4	5	6	2	82	280	0	0	0	0	362
88	Pct 7046	88	1	2	3	4	5	6	2	52	136	0	0	0	0	188
89	Pct 7047	89	1	2	3	4	5	6	2	66	295	0	0	0	0	361
90	Pct 7048	90	1	2	3	4	5	6	2	92	244	0	0	0	0	336
91	Pct 7049	91	1	2	3	4	5	6	2	104	234	0	0	0	0	338
92	Pct 7051	92	1	2	3	4	5	6	2	65	296	0	0	0	0	361
93	Pct 7052	93	1	2	3	4	5	6	2	116	275	0	0	0	0	391
94	Pct 7053	94	1	2	3	4	5	6	2	39	204	0	0	0	0	243
95	Pct 7054	95	1	2	3	4	5	6	2	132	273	0	0	0	0	405
96	Pct 7055	96	1	2	3	4	5	6	2	74	255	0	0	0	0	329
